2017-03-11 08:34:09 INFO  Controller:28 - === START ===
2017-03-11 08:34:10 INFO  DBHelper:77 - Список пабликов успешно загружен.
2017-03-11 08:34:12 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/status.get		802
2017-03-11 08:34:12 INFO  VKAuthorization:31 - Токен валидный. Возвращаем VK Actor.
2017-03-11 08:34:22 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 76094
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76082
2017-03-11 08:34:22 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 76082
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76058
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76058
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76054
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76054
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76046
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76046
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76010
2017-03-11 08:34:22 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 76010
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75988
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75988
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75982
2017-03-11 08:34:22 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 75982
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75978
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75978
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75969
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75969
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75952
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75952
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75941
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75941
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75930
2017-03-11 08:34:23 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 75930
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75924
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75924
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75916
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75916
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75909
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75909
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75890
2017-03-11 08:34:23 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 75890
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75885
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75885
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75875
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75875
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75867
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75867
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75836
2017-03-11 08:34:23 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 75836
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75832
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75832
2017-03-11 08:34:23 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75826
2017-03-11 08:34:23 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75826
2017-03-11 08:34:24 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75820
2017-03-11 08:34:24 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75820
2017-03-11 08:34:24 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75805
2017-03-11 08:34:24 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 75805
2017-03-11 08:34:24 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 75804
2017-03-11 08:34:24 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 75804
2017-03-11 08:34:24 INFO  Requester:72 - Получаем инфо о кол-ве подписчиков в группе VK. PublicId: 79525017
2017-03-11 08:34:24 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/status.get		67
2017-03-11 08:34:24 INFO  VKAuthorization:31 - Токен валидный. Возвращаем VK Actor.
2017-03-11 08:34:24 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/groups.getById		80
2017-03-11 08:34:29 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/status.get		71
2017-03-11 08:34:29 INFO  VKAuthorization:31 - Токен валидный. Возвращаем VK Actor.
2017-03-11 08:34:29 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/wall.get		376
2017-03-11 08:34:29 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 97758272, postId 156798
2017-03-11 08:34:29 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 97758272, postId 156798
2017-03-11 08:34:29 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157118
2017-03-11 08:34:29 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157099
2017-03-11 08:34:30 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157096
2017-03-11 08:34:30 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157088
2017-03-11 08:34:30 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157080
2017-03-11 08:34:30 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157076
2017-03-11 08:34:30 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157071
2017-03-11 08:34:30 INFO  DBHelper:137 - Новый пост. Записываем в нашу БД. PublicId: 97758272, postId 157068
2017-03-11 08:34:30 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 97758272, postId 157056
2017-03-11 08:34:30 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 97758272, postId 157056
2017-03-11 08:34:30 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 97758272, postId 157049
2017-03-11 08:34:30 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 97758272, postId 157049
2017-03-11 08:34:31 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 97758272, postId 157047
2017-03-11 08:34:31 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 97758272, postId 157047
